Sample.number;Sample.ID;date;time;Mesocosm;d.Alk;Sample.Type;Type;Treatment;;
1;X1.K.T0.KO.A;07.05.24;T0;Control ;0;Gill;Control;Control;;
2;X2.K.T0.Re1.A;07.05.24;T0;Dissolved 1;0;Gill;Control;Control;;
3;X3.K.T0.Re2.A;07.05.24;T0;Dissolved 2;0;Gill;Control;Control;;
4;X4.K.T0.Oli1.A;07.05.24;T0;Olivine 1;0;Gill;Control;Control;;
5;X5.K.T0.Oli2.A;07.05.24;T0;Olivine 2;0;Gill;Control;Control;;
6;X6.K.T1.KO.A;28.05.24;T1;Control ;0;Gill;No addition;No addition;;
7;X7.K.T1.KO.B;28.05.24;T1;Control ;0;Gill;No addition;No addition;;
8;X8.K.T1.KO.C;28.05.24;T1;Control ;0;Gill;No addition;No addition;;
9;X9.K.T1.Oli1.A;28.05.24;T1;Olivine 1;250;Gill;Olivine;Olivine 250;;
10;X10.K.T1.Oli1.B;28.05.24;T1;Olivine 1;250;Gill;Olivine;Olivine 250;;
11;X11.K.T1.Oli1.C;28.05.24;T1;Olivine 1;250;Gill;Olivine;Olivine 250;;
12;X12.K.T1.Oli2.A;28.05.24;T1;Olivine 2;500;Gill;Olivine;Olivine 500;;
13;X13.K.T1.Oli2.B;28.05.24;T1;Olivine 2;500;Gill;Olivine;Olivine 500;;
14;X14.K.T1.Oli2.C;28.05.24;T1;Olivine 2;500;Gill;Olivine;Olivine 500;;
15;X15.K.T1.Re1.A;28.05.24;T1;Dissolved 1;250;Gill;Dissolved;Dissolved 250;;
16;X16.K.T1.Re1.B;28.05.24;T1;Dissolved 1;250;Gill;Dissolved;Dissolved 250;;
17;X17.K.T1.Re1.C;28.05.24;T1;Dissolved 1;250;Gill;Dissolved;Dissolved 250;;
18;X18.K.T1.Re2.A;28.05.24;T1;Dissolved 2;500;Gill;Dissolved;Dissolved 500;;
19;X19.K.T1.Re2.B;28.05.24;T1;Dissolved 2;500;Gill;Dissolved;Dissolved 500;;
20;X20.K.T1.Re2.C;28.05.24;T1;Dissolved 2;500;Gill;Dissolved;Dissolved 500;;
21;X21.K.T2.KO.A;18.06.24;T2;Control ;0;Gill;No addition;No addition;;
22;X22.K.T2.KO.B;18.06.24;T2;Control ;0;Gill;No addition;No addition;;
23;X23.K.T2.KO.C;18.06.24;T2;Control ;0;Gill;No addition;No addition;;
24;X24.K.T2.Oli1.A;18.06.24;T2;Olivine 1;250;Gill;Olivine;Olivine 250;;
25;X25.K.T2.Oli1.B;18.06.24;T2;Olivine 1;250;Gill;Olivine;Olivine 250;;
26;X26.K.T2.Oli1.C;18.06.24;T2;Olivine 1;250;Gill;Olivine;Olivine 250;;
27;X27.K.T2.Oli2.A;18.06.24;T2;Olivine 2;500;Gill;Olivine;Olivine 500;;
28;X28.K.T2.Oli2.B;18.06.24;T2;Olivine 2;500;Gill;Olivine;Olivine 500;;
29;X29.K.T2.Oli2.C;18.06.24;T2;Olivine 2;500;Gill;Olivine;Olivine 500;;
30;X30.K.T2.Re1.A;18.06.24;T2;Dissolved 1;250;Gill;Dissolved;Dissolved 250;;
31;X31.K.T2.Re1.B;18.06.24;T2;Dissolved 1;250;Gill;Dissolved;Dissolved 250;;
32;X32.K.T2.Re1.C;18.06.24;T2;Dissolved 1;250;Gill;Dissolved;Dissolved 250;;
33;X33.K.T2.Re2.A;18.06.24;T2;Dissolved 2;500;Gill;Dissolved;Dissolved 500;;
34;X34.K.T2.Re2.B;18.06.24;T2;Dissolved 2;500;Gill;Dissolved;Dissolved 500;;
35;X35.K.T2.Re2.C;18.06.24;T2;Dissolved 2;500;Gill;Dissolved;Dissolved 500;;
36;X36.K.T3.KO.A;09.07.24;T3;Control ;0;Gill;No addition;No addition;;
37;X37.K.T3.KO.B;09.07.24;T3;Control ;0;Gill;No addition;No addition;;
38;X38.K.T3.KO.C;09.07.24;T3;Control ;0;Gill;No addition;No addition;;
39;X39.K.T3.Oli1.A;09.07.24;T3;Olivine 1;250;Gill;Olivine;Olivine 250;;
40;X40.K.T3.Oli1.B;09.07.24;T3;Olivine 1;250;Gill;Olivine;Olivine 250;;
41;X41.K.T3.Oli1.C;09.07.24;T3;Olivine 1;250;Gill;Olivine;Olivine 250;;
42;X42.K.T3.Oli2.A;09.07.24;T3;Olivine 2;500;Gill;Olivine;Olivine 500;;
43;X43.K.T3.Oli2.B;09.07.24;T3;Olivine 2;500;Gill;Olivine;Olivine 500;;
44;X44.K.T3.Oli2.C;09.07.24;T3;Olivine 2;500;Gill;Olivine;Olivine 500;;
45;X45.K.T3.Re1.A;09.07.24;T3;Dissolved 1;250;Gill;Dissolved;Dissolved 250;;
46;X46.K.T3.Re1.B;09.07.24;T3;Dissolved 1;250;Gill;Dissolved;Dissolved 250;;
47;X47.K.T3.Re1.C;09.07.24;T3;Dissolved 1;250;Gill;Dissolved;Dissolved 250;;
48;X48.K.T3.Re2.A;09.07.24;T3;Dissolved 2;500;Gill;Dissolved;Dissolved 500;;
49;X49.K.T3.Re2.B;09.07.24;T3;Dissolved 2;500;Gill;Dissolved;Dissolved 500;;
50;X50.K.T3.Re2.C;09.07.24;T3;Dissolved 2;500;Gill;Dissolved;Dissolved 500;;
51;X51.W.T0.KO.A;07.05.24;T0;Control ;0;Water;Control;Control;;
52;X52.W.T0.Re1.A;07.05.24;T0;Dissolved 1;0;Water;Control;Control;;
53;X53.W.T0.Re2.A;07.05.24;T0;Dissolved 2;0;Water;Control;Control;;
54;X54.W.T0.Oli1.A;07.05.24;T0;Olivine 1;0;Water;Control;Control;;
55;X55.W.T0.Oli2.A;07.05.24;T0;Olivine 2;0;Water;Control;Control;;
56;X56.W.T1.KO.A;28.05.24;T1;Control ;0;Water;No addition;No addition;;
57;X57.W.T1.KO.B;28.05.24;T1;Control ;0;Water;No addition;No addition;;
58;X58.W.T1.KO.C;28.05.24;T1;Control ;0;Water;No addition;No addition;;
59;X59.W.T1.Oli1.A;28.05.24;T1;Olivine 1;250;Water;Olivine;Olivine 250;;
60;X60.W.T1.Oli1.B;28.05.24;T1;Olivine 1;250;Water;Olivine;Olivine 250;;
61;X61.W.T1.Oli1.C;28.05.24;T1;Olivine 1;250;Water;Olivine;Olivine 250;;
62;X62.W.T1.Oli2.A;28.05.24;T1;Olivine 2;500;Water;Olivine;Olivine 500;;
64;X64.W.T1.Oli2.C;28.05.24;T1;Olivine 2;500;Water;Olivine;Olivine 500;;
65;X65.W.T1.Re1.A;28.05.24;T1;Dissolved 1;250;Water;Dissolved;Dissolved 250;;
66;X66.W.T1.Re1.B;28.05.24;T1;Dissolved 1;250;Water;Dissolved;Dissolved 250;;
67;X67.W.T1.Re1.C;28.05.24;T1;Dissolved 1;250;Water;Dissolved;Dissolved 250;;
68;X68.W.T1.Re2.A;28.05.24;T1;Dissolved 2;500;Water;Dissolved;Dissolved 500;;
69;X69.W.T1.Re2.B;28.05.24;T1;Dissolved 2;500;Water;Dissolved;Dissolved 500;;
70;X70.W.T1.Re2.C;28.05.24;T1;Dissolved 2;500;Water;Dissolved;Dissolved 500;;
71;X71.W.T2.KO.A;18.06.24;T2;Control ;0;Water;No addition;No addition;;
72;X72.W.T2.KO.B;18.06.24;T2;Control ;0;Water;No addition;No addition;;
73;X73.W.T2.KO.C;18.06.24;T2;Control ;0;Water;No addition;No addition;;
74;X74.W.T2.Oli1.A;18.06.24;T2;Olivine 1;250;Water;Olivine;Olivine 250;;
75;X75.W.T2.Oli1.B;18.06.24;T2;Olivine 1;250;Water;Olivine;Olivine 250;;
76;X76.W.T2.Oli1.C;18.06.24;T2;Olivine 1;250;Water;Olivine;Olivine 250;;
77;X77.W.T2.Oli2.A;18.06.24;T2;Olivine 2;500;Water;Olivine;Olivine 500;;
78;X78.W.T2.Oli2.B;18.06.24;T2;Olivine 2;500;Water;Olivine;Olivine 500;;
79;X79.W.T2.Oli2.C;18.06.24;T2;Olivine 2;500;Water;Olivine;Olivine 500;;
81;X81.W.T2.Re1.B;18.06.24;T2;Dissolved 1;250;Water;Dissolved;Dissolved 250;;
82;X82.W.T2.Re1.C;18.06.24;T2;Dissolved 1;250;Water;Dissolved;Dissolved 250;;
83;X83.W.T2.Re2.A;18.06.24;T2;Dissolved 2;500;Water;Dissolved;Dissolved 500;;
84;X84.W.T2.Re2.B;18.06.24;T2;Dissolved 2;500;Water;Dissolved;Dissolved 500;;
85;X85.W.T2.Re2.C;18.06.24;T2;Dissolved 2;500;Water;Dissolved;Dissolved 500;;
86;X88.F.T1.KO.A;16.05.24;;Control ;0;Food;Futter;No addition;;
87;X89.F.T1.KO.B;16.05.24;;Control ;0;Food;Futter;No addition;;
88;X90.F.T1.KO.C;16.05.24;;Control ;0;Food;Futter;No addition;;
89;X91.F.T2.KO.A;13.06.24;;Control ;0;Food;Futter;No addition;;
90;X92.F.T2.KO.B;13.06.24;;Control ;0;Food;Futter;No addition;;
91;X93.F.T2.KO.C;13.06.24;;Control ;0;Food;Futter;No addition;;
92;X94.F.T3.KO.A;03.07.24;;Control ;0;Food;Futter;No addition;;
100;X100.F.T2.RE2.C;13.06.24;;Dissolved 2;500;Food;Futter;Dissolved 500;;
